job_id,description,status,created_at,started_at,completed_at,consumer_id
27,Rozmowa telefoniczna #27,pending,2025-12-14 14:22:11,,,
28,Rozmowa telefoniczna #28,pending,2025-12-14 14:22:11,,,
29,Rozmowa telefoniczna #29,pending,2025-12-14 14:22:11,,,
30,Rozmowa telefoniczna #30,pending,2025-12-14 14:22:11,,,
31,Rozmowa telefoniczna #31,pending,2025-12-14 14:22:11,,,
32,Rozmowa telefoniczna #32,pending,2025-12-14 14:22:11,,,
33,Rozmowa telefoniczna #33,pending,2025-12-14 14:22:11,,,
34,Rozmowa telefoniczna #34,pending,2025-12-14 14:22:11,,,
35,Rozmowa telefoniczna #35,pending,2025-12-14 14:22:11,,,
36,Rozmowa telefoniczna #36,pending,2025-12-14 14:22:11,,,
37,Rozmowa telefoniczna #37,pending,2025-12-14 14:22:11,,,
38,Rozmowa telefoniczna #38,pending,2025-12-14 14:22:11,,,
39,Rozmowa telefoniczna #39,pending,2025-12-14 14:22:11,,,
40,Rozmowa telefoniczna #40,pending,2025-12-14 14:22:11,,,
41,Rozmowa telefoniczna #41,pending,2025-12-14 14:22:11,,,
42,Rozmowa telefoniczna #42,pending,2025-12-14 14:22:11,,,
43,Rozmowa telefoniczna #43,pending,2025-12-14 14:22:11,,,
44,Rozmowa telefoniczna #44,pending,2025-12-14 14:22:11,,,
45,Rozmowa telefoniczna #45,pending,2025-12-14 14:22:11,,,
46,Rozmowa telefoniczna #46,pending,2025-12-14 14:22:11,,,
47,Rozmowa telefoniczna #47,pending,2025-12-14 14:22:11,,,
48,Rozmowa telefoniczna #48,pending,2025-12-14 14:22:11,,,
49,Rozmowa telefoniczna #49,pending,2025-12-14 14:22:11,,,
50,Rozmowa telefoniczna #50,pending,2025-12-14 14:22:11,,,
51,Rozmowa telefoniczna #51,pending,2025-12-14 14:22:11,,,
52,Rozmowa telefoniczna #52,pending,2025-12-14 14:22:11,,,
53,Rozmowa telefoniczna #53,pending,2025-12-14 14:22:11,,,
54,Rozmowa telefoniczna #54,pending,2025-12-14 14:22:11,,,
55,Rozmowa telefoniczna #55,pending,2025-12-14 14:22:11,,,
56,Rozmowa telefoniczna #56,pending,2025-12-14 14:22:11,,,
57,Rozmowa telefoniczna #57,pending,2025-12-14 14:22:11,,,
58,Rozmowa telefoniczna #58,pending,2025-12-14 14:22:11,,,
59,Rozmowa telefoniczna #59,pending,2025-12-14 14:22:11,,,
60,Rozmowa telefoniczna #60,pending,2025-12-14 14:22:11,,,
61,Rozmowa telefoniczna #61,pending,2025-12-14 14:22:11,,,
62,Rozmowa telefoniczna #62,pending,2025-12-14 14:22:11,,,
63,Rozmowa telefoniczna #63,pending,2025-12-14 14:22:11,,,
64,Rozmowa telefoniczna #64,pending,2025-12-14 14:22:11,,,
65,Rozmowa telefoniczna #65,pending,2025-12-14 14:22:11,,,
66,Rozmowa telefoniczna #66,pending,2025-12-14 14:22:11,,,
67,Rozmowa telefoniczna #67,pending,2025-12-14 14:22:11,,,
68,Rozmowa telefoniczna #68,pending,2025-12-14 14:22:11,,,
69,Rozmowa telefoniczna #69,pending,2025-12-14 14:22:11,,,
70,Rozmowa telefoniczna #70,pending,2025-12-14 14:22:11,,,
71,Rozmowa telefoniczna #71,pending,2025-12-14 14:22:11,,,
72,Rozmowa telefoniczna #72,pending,2025-12-14 14:22:11,,,
73,Rozmowa telefoniczna #73,pending,2025-12-14 14:22:11,,,
74,Rozmowa telefoniczna #74,pending,2025-12-14 14:22:11,,,
75,Rozmowa telefoniczna #75,pending,2025-12-14 14:22:11,,,
76,Rozmowa telefoniczna #76,pending,2025-12-14 14:22:11,,,
77,Rozmowa telefoniczna #77,pending,2025-12-14 14:22:11,,,
78,Rozmowa telefoniczna #78,pending,2025-12-14 14:22:11,,,
79,Rozmowa telefoniczna #79,pending,2025-12-14 14:22:11,,,
80,Rozmowa telefoniczna #80,pending,2025-12-14 14:22:11,,,
81,Rozmowa telefoniczna #81,pending,2025-12-14 14:22:11,,,
82,Rozmowa telefoniczna #82,pending,2025-12-14 14:22:11,,,
83,Rozmowa telefoniczna #83,pending,2025-12-14 14:22:11,,,
84,Rozmowa telefoniczna #84,pending,2025-12-14 14:22:11,,,
85,Rozmowa telefoniczna #85,pending,2025-12-14 14:22:11,,,
86,Rozmowa telefoniczna #86,pending,2025-12-14 14:22:11,,,
87,Rozmowa telefoniczna #87,pending,2025-12-14 14:22:11,,,
88,Rozmowa telefoniczna #88,pending,2025-12-14 14:22:11,,,
89,Rozmowa telefoniczna #89,pending,2025-12-14 14:22:11,,,
90,Rozmowa telefoniczna #90,pending,2025-12-14 14:22:11,,,
91,Rozmowa telefoniczna #91,pending,2025-12-14 14:22:11,,,
92,Rozmowa telefoniczna #92,pending,2025-12-14 14:22:11,,,
93,Rozmowa telefoniczna #93,pending,2025-12-14 14:22:11,,,
94,Rozmowa telefoniczna #94,pending,2025-12-14 14:22:11,,,
95,Rozmowa telefoniczna #95,pending,2025-12-14 14:22:11,,,
96,Rozmowa telefoniczna #96,pending,2025-12-14 14:22:11,,,
97,Rozmowa telefoniczna #97,pending,2025-12-14 14:22:11,,,
98,Rozmowa telefoniczna #98,pending,2025-12-14 14:22:11,,,
99,Rozmowa telefoniczna #99,pending,2025-12-14 14:22:11,,,
100,Rozmowa telefoniczna #100,pending,2025-12-14 14:22:11,,,
101,Rozmowa telefoniczna #1,pending,2025-12-14 14:22:52,,,
102,Rozmowa telefoniczna #2,pending,2025-12-14 14:22:52,,,
103,Rozmowa telefoniczna #3,pending,2025-12-14 14:22:52,,,
104,Rozmowa telefoniczna #4,pending,2025-12-14 14:22:52,,,
105,Rozmowa telefoniczna #5,pending,2025-12-14 14:22:52,,,
106,Rozmowa telefoniczna #6,pending,2025-12-14 14:22:52,,,
107,Rozmowa telefoniczna #7,pending,2025-12-14 14:22:52,,,
108,Rozmowa telefoniczna #8,pending,2025-12-14 14:22:52,,,
109,Rozmowa telefoniczna #9,pending,2025-12-14 14:22:52,,,
110,Rozmowa telefoniczna #10,pending,2025-12-14 14:22:52,,,
111,Rozmowa telefoniczna #11,pending,2025-12-14 14:22:52,,,
112,Rozmowa telefoniczna #12,pending,2025-12-14 14:22:52,,,
113,Rozmowa telefoniczna #13,pending,2025-12-14 14:22:52,,,
114,Rozmowa telefoniczna #14,pending,2025-12-14 14:22:52,,,
115,Rozmowa telefoniczna #15,pending,2025-12-14 14:22:52,,,
116,Rozmowa telefoniczna #16,pending,2025-12-14 14:22:52,,,
117,Rozmowa telefoniczna #17,pending,2025-12-14 14:22:52,,,
118,Rozmowa telefoniczna #18,pending,2025-12-14 14:22:52,,,
119,Rozmowa telefoniczna #19,pending,2025-12-14 14:22:52,,,
120,Rozmowa telefoniczna #20,pending,2025-12-14 14:22:52,,,
121,Rozmowa telefoniczna #21,pending,2025-12-14 14:22:52,,,
122,Rozmowa telefoniczna #22,pending,2025-12-14 14:22:52,,,
123,Rozmowa telefoniczna #23,pending,2025-12-14 14:22:52,,,
124,Rozmowa telefoniczna #24,pending,2025-12-14 14:22:52,,,
125,Rozmowa telefoniczna #25,pending,2025-12-14 14:22:52,,,
126,Rozmowa telefoniczna #26,pending,2025-12-14 14:22:52,,,
127,Rozmowa telefoniczna #27,pending,2025-12-14 14:22:52,,,
128,Rozmowa telefoniczna #28,pending,2025-12-14 14:22:52,,,
129,Rozmowa telefoniczna #29,pending,2025-12-14 14:22:52,,,
130,Rozmowa telefoniczna #30,pending,2025-12-14 14:22:52,,,
131,Rozmowa telefoniczna #31,pending,2025-12-14 14:22:52,,,
132,Rozmowa telefoniczna #32,pending,2025-12-14 14:22:52,,,
133,Rozmowa telefoniczna #33,pending,2025-12-14 14:22:52,,,
134,Rozmowa telefoniczna #34,pending,2025-12-14 14:22:52,,,
135,Rozmowa telefoniczna #35,pending,2025-12-14 14:22:52,,,
136,Rozmowa telefoniczna #36,pending,2025-12-14 14:22:52,,,
137,Rozmowa telefoniczna #37,pending,2025-12-14 14:22:52,,,
138,Rozmowa telefoniczna #38,pending,2025-12-14 14:22:52,,,
139,Rozmowa telefoniczna #39,pending,2025-12-14 14:22:52,,,
140,Rozmowa telefoniczna #40,pending,2025-12-14 14:22:52,,,
141,Rozmowa telefoniczna #41,pending,2025-12-14 14:22:52,,,
142,Rozmowa telefoniczna #42,pending,2025-12-14 14:22:52,,,
143,Rozmowa telefoniczna #43,pending,2025-12-14 14:22:52,,,
144,Rozmowa telefoniczna #44,pending,2025-12-14 14:22:52,,,
145,Rozmowa telefoniczna #45,pending,2025-12-14 14:22:52,,,
146,Rozmowa telefoniczna #46,pending,2025-12-14 14:22:52,,,
147,Rozmowa telefoniczna #47,pending,2025-12-14 14:22:52,,,
148,Rozmowa telefoniczna #48,pending,2025-12-14 14:22:52,,,
149,Rozmowa telefoniczna #49,pending,2025-12-14 14:22:52,,,
150,Rozmowa telefoniczna #50,pending,2025-12-14 14:22:52,,,
151,Rozmowa telefoniczna #51,pending,2025-12-14 14:22:52,,,
152,Rozmowa telefoniczna #52,pending,2025-12-14 14:22:52,,,
153,Rozmowa telefoniczna #53,pending,2025-12-14 14:22:52,,,
154,Rozmowa telefoniczna #54,pending,2025-12-14 14:22:52,,,
155,Rozmowa telefoniczna #55,pending,2025-12-14 14:22:52,,,
156,Rozmowa telefoniczna #56,pending,2025-12-14 14:22:52,,,
157,Rozmowa telefoniczna #57,pending,2025-12-14 14:22:52,,,
158,Rozmowa telefoniczna #58,pending,2025-12-14 14:22:52,,,
159,Rozmowa telefoniczna #59,pending,2025-12-14 14:22:52,,,
160,Rozmowa telefoniczna #60,pending,2025-12-14 14:22:52,,,
161,Rozmowa telefoniczna #61,pending,2025-12-14 14:22:52,,,
162,Rozmowa telefoniczna #62,pending,2025-12-14 14:22:52,,,
163,Rozmowa telefoniczna #63,pending,2025-12-14 14:22:52,,,
164,Rozmowa telefoniczna #64,pending,2025-12-14 14:22:52,,,
165,Rozmowa telefoniczna #65,pending,2025-12-14 14:22:52,,,
166,Rozmowa telefoniczna #66,pending,2025-12-14 14:22:52,,,
167,Rozmowa telefoniczna #67,pending,2025-12-14 14:22:52,,,
168,Rozmowa telefoniczna #68,pending,2025-12-14 14:22:52,,,
169,Rozmowa telefoniczna #69,pending,2025-12-14 14:22:52,,,
170,Rozmowa telefoniczna #70,pending,2025-12-14 14:22:52,,,
171,Rozmowa telefoniczna #71,pending,2025-12-14 14:22:52,,,
172,Rozmowa telefoniczna #72,pending,2025-12-14 14:22:52,,,
173,Rozmowa telefoniczna #73,pending,2025-12-14 14:22:52,,,
174,Rozmowa telefoniczna #74,pending,2025-12-14 14:22:52,,,
175,Rozmowa telefoniczna #75,pending,2025-12-14 14:22:52,,,
176,Rozmowa telefoniczna #76,pending,2025-12-14 14:22:52,,,
177,Rozmowa telefoniczna #77,pending,2025-12-14 14:22:52,,,
178,Rozmowa telefoniczna #78,pending,2025-12-14 14:22:52,,,
179,Rozmowa telefoniczna #79,pending,2025-12-14 14:22:52,,,
180,Rozmowa telefoniczna #80,pending,2025-12-14 14:22:52,,,
181,Rozmowa telefoniczna #81,pending,2025-12-14 14:22:52,,,
182,Rozmowa telefoniczna #82,pending,2025-12-14 14:22:52,,,
183,Rozmowa telefoniczna #83,pending,2025-12-14 14:22:52,,,
184,Rozmowa telefoniczna #84,pending,2025-12-14 14:22:52,,,
185,Rozmowa telefoniczna #85,pending,2025-12-14 14:22:52,,,
186,Rozmowa telefoniczna #86,pending,2025-12-14 14:22:52,,,
187,Rozmowa telefoniczna #87,pending,2025-12-14 14:22:52,,,
188,Rozmowa telefoniczna #88,pending,2025-12-14 14:22:52,,,
189,Rozmowa telefoniczna #89,pending,2025-12-14 14:22:52,,,
190,Rozmowa telefoniczna #90,pending,2025-12-14 14:22:52,,,
191,Rozmowa telefoniczna #91,pending,2025-12-14 14:22:52,,,
192,Rozmowa telefoniczna #92,pending,2025-12-14 14:22:52,,,
193,Rozmowa telefoniczna #93,pending,2025-12-14 14:22:52,,,
194,Rozmowa telefoniczna #94,pending,2025-12-14 14:22:52,,,
195,Rozmowa telefoniczna #95,pending,2025-12-14 14:22:52,,,
196,Rozmowa telefoniczna #96,pending,2025-12-14 14:22:52,,,
197,Rozmowa telefoniczna #97,pending,2025-12-14 14:22:52,,,
198,Rozmowa telefoniczna #98,pending,2025-12-14 14:22:52,,,
199,Rozmowa telefoniczna #99,pending,2025-12-14 14:22:52,,,
200,Rozmowa telefoniczna #100,pending,2025-12-14 14:22:52,,,
